Date,Open,High,Low,Close,Volume
29-Nov-16,83.42,83.48,82.69,82.89,6183113
28-Nov-16,83.13,83.36,82.76,83.07,6990064
25-Nov-16,82.99,83.46,82.95,83.46,3883098
23-Nov-16,82.59,82.93,82.52,82.68,10763830
22-Nov-16,83.01,83.18,82.66,82.76,7426508
21-Nov-16,82.10,82.75,81.71,82.64,11482061
18-Nov-16,82.92,83.10,81.99,82.00,14565456
17-Nov-16,83.27,83.50,82.93,83.07,9078077
16-Nov-16,83.98,84.20,83.17,83.19,8542909
15-Nov-16,84.58,84.58,82.88,83.62,9464037
14-Nov-16,83.56,83.78,82.76,83.00,12862496
11-Nov-16,82.67,84.06,82.65,83.58,8905669
10-Nov-16,85.51,85.70,82.18,82.96,22095710
9-Nov-16,85.26,86.54,84.31,85.93,11972512
8-Nov-16,86.77,87.69,86.59,87.46,7674604
7-Nov-16,86.02,86.57,85.60,86.56,8878455
4-Nov-16,86.69,86.73,85.07,85.08,9378118
3-Nov-16,86.80,86.98,86.47,86.60,6899931
2-Nov-16,86.77,87.41,86.56,86.74,7773237
1-Nov-16,86.58,86.99,86.48,86.85,8564471
31-Oct-16,87.01,87.47,86.69,86.80,8207137
28-Oct-16,86.87,87.23,86.45,86.84,7021059
27-Oct-16,87.51,87.60,86.45,86.58,6598279
26-Oct-16,86.91,87.74,86.78,87.40,8464058
25-Oct-16,87.49,88.08,86.97,86.97,20761155
24-Oct-16,84.39,84.70,84.06,84.10,10573198
21-Oct-16,84.41,84.86,84.24,84.33,13974139
20-Oct-16,85.38,85.52,84.79,84.93,10175116
19-Oct-16,86.65,86.82,85.44,85.54,12788794
18-Oct-16,88.21,88.27,87.44,87.45,10749527
17-Oct-16,88.43,88.65,87.71,87.83,7610568
14-Oct-16,88.50,88.96,88.22,88.43,7368968
13-Oct-16,88.05,88.57,87.60,88.24,11158075
12-Oct-16,88.74,89.01,88.33,88.57,17118011
11-Oct-16,88.83,89.12,88.20,88.54,11723100
10-Oct-16,90.19,90.33,88.78,89.06,15492383
7-Oct-16,89.01,90.05,88.30,90.00,20518765
6-Oct-16,88.61,89.73,88.47,89.22,61462771
